,symbol,name
0,sh600000,浦发银行
1,sh600004,白云机场
2,sh600006,东风汽车
3,sh600007,中国国贸
4,sh600008,首创股份
5,sh600009,上海机场
6,sh600010,包钢股份
7,sh600011,华能国际
8,sh600012,皖通高速
9,sh600015,华夏银行
10,sh600016,民生银行
11,sh600017,日照港
12,sh600018,上港集团
13,sh600019,宝钢股份
14,sh600020,中原高速
15,sh600021,上海电力
16,sh600022,山东钢铁
17,sh600023,浙能电力
18,sh600025,华能水电
19,sh600026,中远海能
20,sh600027,华电国际
21,sh600028,中国石化
22,sh600029,南方航空
23,sh600030,中信证券
24,sh600031,三一重工
25,sh600033,福建高速
26,sh600035,楚天高速
27,sh600036,招商银行
28,sh600037,歌华有线
29,sh600038,中直股份
30,sh600039,四川路桥
31,sh600048,保利地产
32,sh600050,中国联通
33,sh600051,宁波联合
34,sh600052,浙江广厦
35,sh600053,九鼎投资
36,sh600054,黄山旅游
37,sh600055,万东医疗
38,sh600056,中国医药
39,sh600057,厦门象屿
40,sh600058,五矿发展
41,sh600059,古越龙山
42,sh600060,海信视像
43,sh600061,国投资本
44,sh600062,华润双鹤
45,sh600063,皖维高新
46,sh600064,南京高科
47,sh600066,宇通客车
48,sh600067,冠城大通
49,sh600068,葛洲坝
50,sh600070,浙江富润
51,sh600071,凤凰光学
52,sh600072,中船科技
53,sh600073,上海梅林
54,sh600075,新疆天业
55,sh600076,康欣新材
56,sh600077,宋都股份
57,sh600078,澄星股份
58,sh600079,人福医药
59,sh600080,ST金花
60,sh600081,东风科技
61,sh600082,海泰发展
62,sh600083,*ST博信
63,sh600084,ST中葡
64,sh600085,同仁堂
65,sh600088,中视传媒
66,sh600089,特变电工
67,sh600090,*ST济堂
68,sh600091,ST明科
69,sh600093,易见股份
70,sh600094,大名城
71,sh600095,湘财股份
72,sh600096,云天化
73,sh600097,开创国际
74,sh600098,广州发展
75,sh600099,林海股份
76,sh600100,同方股份
77,sh600101,明星电力
78,sh600103,青山纸业
79,sh600104,上汽集团
80,sh600105,永鼎股份
81,sh600106,重庆路桥
82,sh600107,美尔雅
83,sh600108,亚盛集团
84,sh600109,国金证券
85,sh600110,诺德股份
86,sh600111,北方稀土
87,sh600112,ST天成
88,sh600113,浙江东日
89,sh600114,东睦股份
90,sh600115,东方航空
91,sh600116,三峡水利
92,sh600117,西宁特钢
93,sh600118,中国卫星
94,sh600119,ST长投
95,sh600120,浙江东方
96,sh600121,郑州煤电
97,sh600122,*ST宏图
98,sh600123,兰花科创
99,sh600125,铁龙物流
100,sh600126,杭钢股份
101,sh600127,金健米业
102,sh600128,弘业股份
103,sh600129,太极集团
104,sh600130,波导股份
105,sh600131,国网信通
106,sh600132,重庆啤酒
107,sh600133,东湖高新
108,sh600135,乐凯胶片
109,sh600136,当代文体
110,sh600137,浪莎股份
111,sh600138,中青旅
112,sh600139,西部资源
113,sh600141,兴发集团
114,sh600143,金发科技
115,sh600145,*ST新亿
116,sh600146,*ST环球
117,sh600148,长春一东
118,sh600149,廊坊发展
119,sh600150,中国船舶
120,sh600151,航天机电
121,sh600152,维科技术
122,sh600153,建发股份
123,sh600155,华创阳安
124,sh600156,华升股份
125,sh600157,ST永泰
126,sh600158,中体产业
127,sh600159,大龙地产
128,sh600160,巨化股份
129,sh600161,天坛生物
130,sh600162,香江控股
131,sh600163,中闽能源
132,sh600165,新日恒力
133,sh600166,福田汽车
134,sh600167,联美控股
135,sh600168,武汉控股
136,sh600169,太原重工
137,sh600170,上海建工
138,sh600171,上海贝岭
139,sh600172,黄河旋风
140,sh600173,卧龙地产
141,sh600176,中国巨石
142,sh600177,雅戈尔
143,sh600178,东安动力
144,sh600179,*ST安通
145,sh600180,瑞茂通
146,sh600182,S佳通
147,sh600183,生益科技
148,sh600184,光电股份
149,sh600185,格力地产
150,sh600186,莲花健康
151,sh600187,国中水务
152,sh600188,兖州煤业
153,sh600189,泉阳泉
154,sh600190,锦州港
155,sh600191,华资实业
156,sh600192,长城电工
157,sh600193,ST创兴
158,sh600195,中牧股份
159,sh600196,复星医药
160,sh600197,伊力特
161,sh600198,大唐电信
162,sh600199,金种子酒
163,sh600200,江苏吴中
164,sh600201,生物股份
165,sh600202,哈空调
166,sh600203,福日电子
167,sh600206,有研新材
168,sh600207,安彩高科
169,sh600208,新湖中宝
170,sh600209,*ST罗顿
171,sh600210,紫江企业
172,sh600211,西藏药业
173,sh600212,江泉实业
174,sh600213,亚星客车
175,sh600215,*ST经开
176,sh600216,浙江医药
177,sh600217,中再资环
178,sh600218,全柴动力
179,sh600219,南山铝业
180,sh600220,江苏阳光
