date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2005-01-04,36.49,30.11,22.67,21.22,2339.73
2005-01-05,37.06,30.62,22.99,21.53,2315.21
2005-01-06,37.23,30.43,23.05,21.22,2319.22
2005-01-09,36.85,30.48,22.84,21.24,2342.97
2005-01-10,37.7,30.8,23.19,21.32,2352.81
2005-01-11,37.16,30.83,22.95,21.28,2350.55
2005-01-12,37.11,30.77,23.02,21.11,2348.13
2005-01-13,37.12,30.82,22.82,21.14,2330.38
2005-01-16,36.63,30.44,22.66,21.13,2279.59
2005-01-17,35.74,29.73,22.13,20.46,2297.3
2005-01-18,36.22,30.09,21.98,20.47,2278.72
2005-01-19,35.91,29.78,21.72,20.28,2255.26
2005-01-20,35.83,29.32,21.78,19.98,2320.59
2005-01-23,36.53,29.82,22.24,20.49,2355.98
2005-01-24,36.7,30.42,22.58,20.91,2353.03
2005-01-25,37.04,30.27,22.85,21.06,2332.18
2005-01-26,36.5,29.77,22.57,20.89,2296.14
2005-01-27,36.98,29.3,22.14,20.53,2285.59
2005-01-30,36.5,28.95,22.06,20.43,2254.03
2005-01-31,35.26,28.03,21.23,20.22,2256.45
2005-02-01,35.13,27.84,21.27,20.15,2377.11
2005-02-02,35.73,29.5,22.32,21.18,2344.16
2005-02-03,35.0,28.95,22.07,20.74,2406.44
2005-02-15,35.81,29.32,22.69,21.04,2420.57
2005-02-16,36.1,29.54,22.72,21.39,2412.92
2005-02-17,36.41,29.77,22.66,21.57,2374.88
2005-02-20,35.7,29.21,22.2,21.12,2423.4
2005-02-21,36.48,29.73,22.78,21.46,2468.11
2005-02-22,34.21,30.51,22.86,22.09,2456.0
2005-02-23,34.3,30.65,22.91,22.17,2459.26
2005-02-24,34.49,30.78,22.93,22.28,2462.52
2005-02-27,34.97,30.83,23.15,22.29,2440.86
2005-02-28,34.22,30.47,22.85,22.04,2432.61
2005-03-01,34.12,30.4,22.72,22.03,2398.5
2005-03-02,35.22,29.96,22.61,21.89,2414.0
2005-03-03,33.83,30.14,22.67,21.94,2403.15
2005-03-06,35.18,29.63,22.72,22.0,2415.71
2005-03-07,35.24,29.76,22.73,22.22,2458.14
2005-03-08,34.38,30.48,23.13,22.57,2449.02
2005-03-09,34.43,30.54,23.03,22.64,2395.28
2005-03-10,35.09,29.77,22.78,22.0,2406.36
2005-03-13,35.25,30.01,23.11,22.42,2416.62
2005-03-14,35.15,29.93,23.26,22.35,2373.63
2005-03-15,35.14,29.48,22.9,21.89,2350.41
2005-03-16,37.32,29.17,22.69,21.2,2330.01
2005-03-17,37.33,28.91,22.9,20.85,2301.12
2005-03-20,36.1,28.27,22.32,20.56,2307.84
2005-03-21,36.0,28.25,22.39,20.94,2264.5
2005-03-22,34.79,27.5,21.88,20.28,2250.52
2005-03-23,34.59,27.32,21.94,20.34,2265.23
2005-03-24,35.36,27.54,22.08,20.51,2259.22
2005-03-27,34.75,27.21,21.91,20.42,2256.58
2005-03-28,34.51,26.98,21.95,20.68,2243.86
2005-03-29,34.21,26.66,21.54,20.34,2202.29
2005-03-30,33.2,26.13,21.09,20.07,2212.63
2005-03-31,33.5,26.33,21.06,20.27,2293.92
2005-04-03,34.88,27.34,21.86,20.91,2253.84
2005-04-04,34.19,27.27,21.46,20.78,2235.15
2005-04-05,33.81,26.91,21.27,20.55,2275.34
2005-04-06,34.11,27.82,21.83,21.0,2300.02
2005-04-07,34.76,28.28,22.03,21.27,2339.27
2005-04-10,35.39,28.14,22.67,21.49,2322.48
2005-04-11,35.5,28.43,22.58,21.29,2284.13
2005-04-12,34.6,27.67,22.0,20.76,2337.31
2005-04-13,35.9,28.55,22.52,21.59,2307.08
2005-04-14,34.93,27.96,22.15,21.01,2275.67
2005-04-17,34.06,27.31,21.9,20.83,2248.39
2005-04-18,33.64,28.38,21.62,20.53,2253.91
2005-04-19,33.86,28.43,21.63,20.53,2220.75
2005-04-20,32.94,28.97,21.28,20.26,2206.48
2005-04-21,32.05,29.96,21.17,20.51,2205.29
2005-04-24,31.91,28.82,20.88,20.17,2187.42
2005-04-25,31.38,29.29,20.69,20.0,2201.31
2005-04-26,31.95,32.31,20.83,20.55,2174.36
2005-04-27,31.29,31.63,20.72,20.61,2208.54
2005-04-28,31.94,32.43,21.1,20.81,2190.28
2005-05-08,31.47,29.83,20.84,20.41,2141.85
2005-05-09,30.48,29.79,20.22,20.46,2151.67
2005-05-10,30.75,29.9,20.23,20.47,2128.18
2005-05-11,30.58,29.73,20.04,20.49,2088.54
2005-05-12,30.43,29.54,20.01,20.26,2095.19
2005-05-15,30.71,29.89,20.2,19.88,2065.88
2005-05-16,30.36,29.51,19.9,19.63,2080.65
2005-05-17,30.69,29.94,20.07,19.83,2085.0
2005-05-18,30.94,30.24,20.13,19.92,2088.7
2005-05-19,31.01,30.25,20.2,20.16,2085.15
2005-05-22,30.95,30.02,20.16,20.11,2038.33
2005-05-23,30.13,29.15,19.64,19.94,2044.34
2005-05-24,30.68,29.73,19.78,19.91,2043.78
2005-05-25,30.66,29.71,19.74,19.79,2016.6
2005-05-26,30.22,29.28,19.52,19.29,1999.16
2005-05-29,30.1,29.16,19.52,18.99,2013.41
2005-05-30,30.38,29.41,19.64,19.17,2016.6
2005-05-31,30.26,29.31,19.77,19.15,1978.45
2005-06-01,29.72,28.61,19.21,18.92,1931.69
2005-06-02,29.35,28.25,18.76,18.19,1931.3
2005-06-05,29.09,28.09,18.68,18.25,1977.23
2005-06-06,29.52,28.56,18.8,18.81,1971.13
2005-06-07,29.67,28.64,18.73,18.75,2131.83
2005-06-08,32.04,30.97,20.02,20.32,2149.66
2005-06-09,32.56,31.48,20.26,20.25,2112.08
2005-06-12,31.9,30.86,19.99,20.08,2097.92
2005-06-13,31.83,30.82,20.1,20.02,2076.83
2005-06-14,31.24,30.27,19.93,19.61,2042.42
2005-06-15,30.5,29.42,19.35,19.07,2073.3
2005-06-16,30.8,29.71,19.37,19.27,2079.6
2005-06-19,30.71,29.49,19.59,19.26,2136.44
2005-06-20,31.65,30.44,20.31,19.94,2111.39
2005-06-21,31.24,30.17,20.04,19.73,2120.35
2005-06-22,31.18,30.24,20.09,19.76,2103.08
2005-06-23,30.67,29.87,19.88,19.7,2113.3
2005-06-26,30.73,30.04,19.91,19.73,2151.72
2005-06-27,31.51,30.8,20.34,20.51,2124.87
2005-06-28,30.91,30.27,20.02,20.2,2116.37
2005-06-29,30.81,30.18,19.75,20.12,2074.47
2005-06-30,30.61,30.61,19.41,19.63,2034.23
2005-07-03,29.37,29.46,18.69,18.89,2026.53
2005-07-04,28.82,28.89,18.25,18.52,2010.62
2005-07-05,28.52,28.63,18.27,18.24,1992.41
2005-07-06,28.25,28.31,18.2,18.16,1994.82
2005-07-07,28.17,28.3,18.36,18.26,1962.35
2005-07-10,27.29,27.37,17.84,17.68,1951.22
2005-07-11,26.85,27.0,17.82,17.71,2019.64
2005-07-12,27.85,27.98,18.35,18.32,2006.54
