date,close,pe
2004-05-31,1000.0,30.68
2004-06-30,1000.0,37.06
2004-07-31,1000.0,29.74
2004-08-31,1000.0,34.46
2004-09-30,1000.0,33.7
2004-10-31,1000.0,33.69
2004-11-30,1000.0,31.33
2004-12-31,1000.0,27.62
2005-01-31,1000.0,30.03
2005-02-28,1000.0,25.6
2005-03-31,1000.0,25.51
2005-04-30,1000.0,22.98
2005-06-29,1175.05,25.94
2005-07-28,1183.23,26.09
2005-08-30,1305.51,28.0
2005-09-29,1354.52,28.73
2005-10-30,1364.44,27.67
2005-11-29,1439.0,24.8
2005-12-29,1415.65,24.49
2006-01-24,1440.75,24.88
2006-02-27,1449.61,21.7
2006-03-30,1517.32,22.93
2006-04-27,1740.21,26.37
2006-05-30,2115.67,32.17
2006-06-29,2251.55,35.97
2006-07-30,2026.25,32.34
2006-08-30,2119.69,34.56
2006-09-28,2225.44,36.48
2006-10-30,2156.57,36.22
2006-11-29,2306.28,38.38
2006-12-28,2493.26,42.03
2007-01-30,3103.99,51.12
2007-02-27,3207.25,51.77
2007-03-29,3602.45,49.14
2007-04-29,4256.97,55.44
2007-05-30,4636.94,60.12
2007-06-28,4347.96,57.46
2007-07-30,5164.34,70.91
2007-08-30,5641.78,79.56
2007-09-27,5576.22,78.45
2007-10-30,5246.98,73.45
2007-11-29,4783.65,67.21
2007-12-27,5926.7,85.07
2008-01-30,5415.52,74.61
2008-02-28,5786.37,68.86
2008-03-30,4680.23,47.17
2008-04-29,4543.86,41.96
2008-05-29,4407.37,40.46
2008-06-29,3444.68,31.4
2008-07-30,3724.64,33.78
2008-08-28,2965.12,26.68
2008-09-25,2622.11,23.68
2008-10-30,2026.21,18.48
2008-11-27,2387.88,21.51
2008-12-30,2730.11,24.96
2009-01-22,2952.94,27.33
2009-02-26,3077.86,28.37
2009-03-30,3653.82,29.08
2009-04-29,3969.56,32.81
2009-05-26,4159.15,34.54
2009-06-29,4325.63,35.92
2009-07-30,4774.27,40.3
2009-08-30,4135.33,34.59
2009-09-29,4438.54,37.51
2009-10-29,4882.35,41.65
2009-11-29,5558.48,48.49
2009-12-30,5814.99,51.01
2010-01-28,5665.33,49.75
2010-02-25,5907.48,50.83
2010-03-30,6189.33,47.28
2010-04-29,5939.44,44.19
2010-05-30,5669.92,43.19
2010-06-29,5231.9,39.99
2010-07-29,5911.67,44.94
2010-08-30,6665.39,51.03
2010-09-29,6700.27,50.91
2010-10-28,7363.39,55.39
2010-11-29,7562.94,57.79
2010-12-30,7465.49,56.93
2011-01-30,6767.88,50.81
2011-02-27,7393.29,53.6
2011-03-30,7084.62,43.34
2011-04-28,6729.63,37.71
2011-05-30,6195.71,34.6
2011-06-29,6518.81,35.95
2011-07-28,6672.61,37.53
2011-08-30,6489.37,36.75
2011-09-29,5685.36,32.2
2011-10-30,5923.82,33.66
2011-11-29,5690.81,32.53
2011-12-29,4920.98,28.26
2012-01-30,4758.46,27.02
2012-02-28,5372.7,30.2
2012-03-29,5045.38,27.9
2012-04-26,5236.0,26.73
2012-05-30,5402.09,27.88
2012-06-28,5165.4,26.86
2012-07-30,4758.15,24.72
2012-08-30,4774.44,24.8
2012-09-27,4859.11,25.29
2012-10-30,4790.58,24.97
2012-11-29,4184.48,21.76
2012-12-30,4840.73,25.42
2013-01-30,5112.73,26.76
2013-02-27,5309.61,28.03
2013-03-28,5213.42,27.87
2013-04-25,5077.77,28.05
2013-05-30,5869.52,32.56
2013-06-27,5066.18,28.0
2013-07-30,5374.44,29.76
2013-08-29,5711.03,31.46
2013-09-29,6109.55,33.57
2013-10-30,5823.09,32.62
2013-11-28,6250.75,34.72
2013-12-30,6115.56,34.07
2014-01-29,6313.75,35.17
2014-02-27,6442.82,36.4
2014-03-30,6058.69,32.99
2014-04-29,5987.12,31.45
2014-05-29,6156.83,32.27
2014-06-29,6404.58,33.5
2014-07-30,6764.14,35.23
2014-08-28,7121.27,37.19
2014-09-29,7904.18,41.71
2014-10-30,7953.97,42.13
2014-11-27,8136.55,43.26
2014-12-30,7698.01,41.06
2015-01-29,8421.07,45.74
2015-02-26,9120.18,48.77
2015-03-30,11169.23,56.29
2015-04-29,12659.68,59.2
2015-05-28,16117.6,76.11
2015-06-29,14093.58,66.2
2015-07-30,12239.49,58.29
2015-08-30,10434.44,49.89
2015-09-29,9988.75,48.16
2015-10-29,11747.68,56.73
2015-11-29,12827.46,62.83
2015-12-30,13492.71,68.06
2016-01-28,9747.92,49.4
2016-02-28,9511.54,48.13
2016-03-30,11151.63,52.74
2016-04-28,10990.35,46.74
2016-05-30,10961.0,46.63
2016-06-29,11574.35,49.64
2016-07-28,11370.45,48.79
2016-08-30,11806.81,50.92
2016-09-29,11605.91,49.99
2016-10-30,11920.79,51.7
2016-11-29,12068.62,52.79
2016-12-29,11483.98,50.35
2017-01-25,11187.49,49.83
2017-02-27,11612.72,52.76
2017-03-30,11619.11,47.47
2017-04-27,11167.92,41.95
2017-05-30,10619.49,39.76
2017-06-29,11203.99,41.68
2017-07-30,11174.64,41.25
2017-08-30,11532.6,42.87
2017-09-28,11799.02,43.91
2017-10-30,11916.2,44.61
2017-10-31,11897.98,44.62
2017-11-29,11378.02,42.47
2017-12-28,11340.61,42.41
2018-01-30,11088.61,41.57
2018-02-27,10864.71,40.65
2018-03-29,10960.15,39.39
2018-04-26,10486.15,32.74
2018-05-30,10497.03,32.54
2018-06-28,9492.3,29.4
2018-07-30,9359.21,28.85
2018-08-30,8640.98,26.57
2018-09-27,8503.92,26.03
2018-10-30,7558.26,23.26
2018-11-29,7813.08,23.9
2018-12-27,7336.11,22.59
2019-01-30,7358.27,22.82
2019-02-27,8932.99,27.68
2019-03-28,9814.94,30.11
2019-04-29,9398.35,27.13
2019-05-30,8686.74,25.25
2019-06-27,8802.83,25.77
2019-07-30,8841.52,26.09
2019-08-30,8815.02,26.03
2019-09-30,8936.71,26.35
2019-10-31,9059.87,26.64
2019-11-29,8930.06,26.27
2019-12-31,9675.55,28.47
2020-01-23,10006.17,29.46
2020-02-28,10286.55,29.71
2020-03-31,9430.27,26.12
2020-04-30,10004.9,28.05
2020-05-29,10072.72,28.32
2020-06-30,11140.61,31.23
2020-07-31,12748.28,35.63
2020-08-31,12942.87,36.24
2020-09-30,12080.11,33.94
2020-10-30,12239.68,34.45
2020-11-30,12440.6,35.05
