date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2007-01-14,49.07,57.39,32.73,39.38,2197.14
2007-01-15,50.62,59.46,34.56,41.29,2263.73
2007-01-16,51.88,60.46,35.4,43.17,2225.5
2007-01-17,51.79,60.15,35.73,42.78,2244.06
2007-01-18,53.57,60.96,36.47,42.74,2321.36
2007-01-21,54.77,62.79,37.38,43.91,2417.01
2007-01-22,56.22,65.23,38.76,46.27,2430.22
2007-01-23,54.48,64.68,38.39,46.06,2456.74
2007-01-24,54.76,64.66,39.12,46.38,2367.27
2007-01-25,53.88,62.94,37.38,44.52,2415.02
2007-01-28,54.22,63.74,37.58,44.91,2481.14
2007-01-29,53.76,64.61,38.71,46.21,2461.32
2007-01-30,54.98,64.82,38.29,46.2,2309.14
2007-01-31,54.38,62.37,37.09,43.72,2322.05
2007-02-01,54.29,61.76,37.03,44.1,2240.11
2007-02-04,53.13,60.34,36.28,43.25,2226.79
2007-02-05,54.47,60.57,36.97,43.63,2271.17
2007-02-06,53.53,61.61,37.32,44.72,2321.07
2007-02-07,54.73,62.43,38.28,45.45,2361.53
2007-02-08,54.19,62.88,38.81,45.66,2353.79
2007-02-11,54.61,62.7,38.95,45.94,2432.79
2007-02-12,55.54,64.3,39.99,47.01,2471.23
2007-02-13,56.09,65.36,40.41,47.73,2533.05
2007-02-14,56.53,66.44,41.2,49.03,2611.84
2007-02-15,58.35,67.53,42.9,50.58,2625.09
2007-02-25,58.69,68.58,42.72,51.08,2673.16
2007-02-26,61.71,70.6,44.31,52.34,2428.06
2007-02-27,56.16,65.34,40.04,47.43,2519.74
2007-02-28,58.98,67.1,41.28,49.08,2453.43
2007-03-01,57.15,65.19,40.19,47.72,2490.61
2007-03-04,58.44,66.35,40.8,48.48,2467.99
2007-03-05,58.4,66.41,40.95,48.64,2502.27
2007-03-06,58.84,67.36,41.4,48.92,2569.82
2007-03-07,59.36,68.87,42.11,50.03,2611.76
2007-03-08,60.6,69.29,43.15,50.88,2600.46
2007-03-11,60.12,69.42,42.54,50.97,2618.58
2007-03-12,60.31,69.95,43.12,51.42,2644.15
2007-03-13,60.78,70.37,43.93,51.48,2607.61
2007-03-14,60.45,69.19,43.61,51.14,2656.46
2007-03-15,61.57,69.93,44.51,52.3,2613.28
2007-03-18,60.69,70.02,44.3,52.26,2664.51
2007-03-19,61.28,70.23,44.61,53.33,2689.09
2007-03-20,62.15,71.58,45.63,54.31,2723.28
2007-03-21,63.08,72.06,45.95,54.9,2730.32
2007-03-22,63.24,72.12,45.8,54.87,2743.1
2007-03-25,64.11,72.58,46.73,55.88,2801.23
2007-03-26,64.24,73.98,47.63,57.33,2828.61
2007-03-27,64.94,74.4,48.09,58.18,2830.08
2007-03-28,64.05,74.13,47.44,57.84,2792.34
2007-03-29,63.08,73.35,46.3,56.27,2798.94
2007-04-01,63.39,73.69,46.66,56.28,2866.62
