date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2006-02-26,32.7,29.23,19.59,18.78,1081.88
2006-02-27,33.48,29.22,19.73,18.93,1087.72
2006-02-28,32.88,29.47,19.69,18.87,1096.32
2006-03-01,33.43,29.8,20.1,19.16,1071.56
2006-03-02,33.32,29.22,19.84,18.82,1074.12
2006-03-05,33.9,29.64,19.71,18.77,1069.46
2006-03-06,33.76,29.58,19.48,18.71,1039.37
2006-03-07,34.02,29.95,19.26,18.43,1034.93
2006-03-08,33.84,29.77,19.37,18.41,1031.88
2006-03-09,33.55,29.65,19.28,18.41,1039.01
2006-03-12,33.73,30.03,19.34,18.68,1052.16
2006-03-13,34.02,30.26,19.81,19.02,1050.84
2006-03-14,33.96,30.28,19.82,18.87,1065.81
2006-03-15,34.25,30.62,20.12,19.2,1065.36
2006-03-16,33.69,30.72,20.3,19.04,1062.81
2006-03-19,33.57,30.65,20.21,19.2,1082.45
2006-03-20,34.37,31.87,20.62,19.56,1087.34
2006-03-21,34.47,31.95,20.72,19.71,1099.58
2006-03-22,34.86,32.6,21.0,20.13,1104.28
2006-03-23,34.67,32.88,20.97,20.19,1095.98
2006-03-26,34.35,31.71,21.01,20.13,1109.73
2006-03-27,35.49,33.35,21.23,20.61,1118.9
2006-03-28,35.44,32.88,21.54,20.58,1125.67
2006-03-29,35.82,32.65,21.59,20.74,1112.07
2006-03-30,35.85,32.73,21.43,20.46,1120.5
2006-04-02,35.71,32.64,21.55,20.33,1149.56
2006-04-03,36.54,33.28,22.22,20.99,1163.88
2006-04-04,36.63,33.25,22.46,21.4,1175.47
2006-04-05,35.78,33.06,22.43,21.6,1178.08
2006-04-06,36.6,33.09,22.22,21.75,1178.75
2006-04-09,37.18,32.96,22.84,21.67,1198.35
2006-04-10,37.77,33.63,23.31,22.29,1201.81
2006-04-11,37.66,33.94,23.51,22.44,1192.58
2006-04-12,37.54,34.53,23.51,22.89,1155.2
2006-04-13,37.03,33.85,22.76,22.01,1186.87
2006-04-16,37.96,34.83,23.39,22.67,1187.57
2006-04-17,38.41,36.3,23.67,22.95,1193.04
2006-04-18,38.73,36.53,23.7,22.67,1196.59
2006-04-19,38.58,36.34,23.75,22.56,1188.77
2006-04-20,37.53,35.25,23.45,22.46,1204.19
2006-04-23,38.26,36.01,23.91,23.11,1192.81
2006-04-24,38.26,35.84,23.51,23.03,1195.46
2006-04-25,38.2,36.29,23.23,22.94,1210.01
2006-04-26,38.02,35.97,23.57,23.25,1209.73
2006-04-27,38.65,36.69,23.61,23.37,1225.8
2006-05-07,40.45,38.84,24.26,23.78,1280.98
2006-05-08,40.53,39.63,24.79,24.79,1322.06
2006-05-09,41.79,40.87,25.94,25.84,1342.28
2006-05-10,42.72,41.62,26.17,26.11,1325.51
2006-05-11,42.26,41.17,26.04,25.95,1372.44
2006-05-14,43.52,42.35,27.09,27.03,1442.68
2006-05-15,44.27,42.98,28.57,28.49,1397.75
2006-05-16,43.62,42.41,27.63,27.61,1403.22
2006-05-17,44.22,42.99,28.13,27.91,1401.5
2006-05-18,44.99,43.74,28.11,27.91,1439.61
2006-05-21,44.53,43.66,29.07,29.02,1449.56
2006-05-22,45.37,44.07,29.96,29.89,1376.31
2006-05-23,44.07,42.81,28.27,28.12,1359.03
2006-05-24,42.49,41.32,27.79,27.68,1360.42
2006-05-25,42.81,41.64,28.09,28.01,1386.42
2006-05-28,44.07,42.98,29.05,28.82,1425.56
2006-05-29,44.27,43.2,30.04,29.86,1442.44
2006-05-30,45.35,44.28,30.32,30.14,1424.31
2006-05-31,44.99,43.94,30.04,29.98,1468.06
2006-06-01,46.57,45.45,30.96,30.9,1458.84
2006-06-04,46.52,45.38,30.31,30.25,1476.98
2006-06-05,47.66,46.51,31.4,31.27,1466.46
2006-06-06,47.54,46.43,31.46,31.4,1369.76
2006-06-07,45.28,44.32,28.89,28.85,1377.25
2006-06-08,45.92,44.99,29.38,29.33,1343.08
2006-06-11,44.95,44.01,28.81,28.73,1351.86
2006-06-12,45.27,44.32,29.18,29.09,1357.94
2006-06-13,45.6,44.64,29.27,29.16,1342.08
2006-06-14,45.61,44.65,28.99,28.91,1346.65
2006-06-15,45.79,44.86,29.2,29.15,1383.56
2006-06-18,46.57,45.62,29.97,29.89,1404.91
2006-06-19,47.16,46.2,30.52,30.43,1413.66
2006-06-20,48.11,47.15,30.75,30.68,1405.92
2006-06-21,47.74,46.79,30.54,30.39,1405.22
2006-06-22,47.38,46.46,30.58,30.42,1418.59
2006-06-25,48.93,48.01,31.25,31.08,1446.64
2006-06-26,49.29,48.36,32.0,31.87,1449.36
2006-06-27,49.54,48.6,32.08,32.03,1448.89
2006-06-28,49.64,48.69,32.52,32.29,1483.84
2006-06-29,50.46,49.49,33.0,32.83,1480.91
2006-07-02,50.02,49.06,32.73,32.49,1512.27
2006-07-03,51.32,50.38,33.3,33.21,1503.33
2006-07-04,51.39,50.5,32.99,32.92,1486.08
2006-07-05,50.65,49.76,32.64,32.51,1520.12
2006-07-06,52.08,51.16,33.73,33.58,1513.4
2006-07-09,52.32,51.43,33.71,33.38,1518.35
2006-07-10,52.88,51.98,34.06,34.01,1526.89
2006-07-11,53.2,52.31,34.49,34.35,1527.15
2006-07-12,53.71,52.85,34.43,34.16,1431.54
2006-07-13,50.6,49.8,32.36,32.23,1443.34
2006-07-16,51.12,50.32,32.71,32.6,1464.94
2006-07-17,52.21,51.39,33.48,33.36,1469.83
2006-07-18,52.32,51.48,33.58,33.37,1429.06
2006-07-19,51.65,50.85,32.73,32.52,1439.76
