date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2005-01-04,50.09,43.85,31.43,28.79,0.0
2005-01-05,51.28,44.46,32.06,29.18,0.0
2005-01-06,51.0,43.84,32.02,28.73,0.0
2005-01-09,50.54,44.04,31.47,28.84,0.0
2005-01-10,51.31,44.45,32.35,29.09,0.0
2005-01-11,50.96,44.57,31.96,29.28,0.0
2005-01-12,50.76,44.56,31.86,29.32,0.0
2005-01-13,51.16,44.74,31.81,29.42,0.0
2005-01-16,50.91,44.18,31.47,28.93,0.0
2005-01-17,49.84,43.43,30.42,28.08,0.0
2005-01-18,50.23,43.9,30.85,28.48,0.0
2005-01-19,50.56,43.72,30.69,28.22,0.0
2005-01-20,50.77,43.34,30.93,27.67,0.0
2005-01-23,50.86,43.73,31.46,28.34,0.0
2005-01-24,51.41,44.44,31.64,28.9,0.0
2005-01-25,50.86,44.05,31.73,28.5,0.0
2005-01-26,50.89,43.74,31.47,28.19,0.0
2005-01-27,50.4,43.21,30.45,27.73,0.0
2005-01-30,49.37,42.35,29.71,27.36,0.0
2005-01-31,48.01,40.83,28.86,26.49,0.0
2005-02-01,47.72,40.37,28.4,26.26,0.0
2005-02-02,49.42,42.62,30.06,27.69,0.0
2005-02-03,48.39,41.66,29.37,27.29,0.0
2005-02-15,49.16,42.22,29.88,27.77,0.0
2005-02-16,49.78,42.7,30.4,28.11,0.0
2005-02-17,49.69,43.05,30.49,28.18,0.0
2005-02-20,49.29,42.58,30.05,28.0,0.0
2005-02-21,50.17,43.01,30.5,28.38,0.0
2005-02-22,50.37,44.36,31.36,29.28,0.0
2005-02-23,50.75,44.65,31.67,29.55,0.0
2005-02-24,50.77,44.86,31.88,29.66,0.0
2005-02-27,51.09,45.07,32.68,29.55,0.0
2005-02-28,50.68,45.35,31.75,29.37,0.0
2005-03-01,50.73,45.1,31.94,29.21,0.0
2005-03-02,51.27,44.61,31.66,28.82,0.0
2005-03-03,50.53,44.9,31.61,29.34,0.0
2005-03-06,50.83,44.7,31.64,28.98,0.0
2005-03-07,50.93,45.54,31.76,29.28,0.0
2005-03-08,50.81,45.97,32.39,29.73,0.0
2005-03-09,50.99,46.17,32.55,29.81,0.0
2005-03-10,50.53,45.59,31.65,29.33,0.0
2005-03-13,50.77,45.78,31.71,29.48,0.0
2005-03-14,49.98,45.64,31.51,29.51,0.0
2005-03-15,49.78,45.12,31.64,28.97,0.0
2005-03-16,49.76,44.95,31.0,28.88,0.0
2005-03-17,49.97,44.52,31.15,28.6,0.0
2005-03-20,49.35,44.06,30.2,27.8,0.0
2005-03-21,49.27,44.09,29.95,27.94,0.0
2005-03-22,48.72,43.01,29.67,27.48,0.0
2005-03-23,48.2,42.96,29.61,27.24,0.0
2005-03-24,48.89,43.38,30.2,27.61,0.0
2005-03-27,48.07,43.25,29.45,27.69,0.0
2005-03-28,47.73,43.68,28.92,27.75,0.0
2005-03-29,47.25,43.53,28.76,27.5,0.0
2005-03-30,46.65,42.54,28.17,26.5,0.0
2005-03-31,47.11,43.55,28.45,26.91,0.0
2005-04-03,48.03,44.08,29.34,28.01,0.0
2005-04-04,47.32,43.78,28.91,27.57,0.0
2005-04-05,47.55,43.49,29.16,27.24,0.0
2005-04-06,47.7,44.09,29.34,28.12,0.0
2005-04-07,48.1,44.87,29.75,28.43,1003.45
2005-04-10,49.27,45.37,30.48,29.22,995.42
2005-04-11,48.37,44.83,30.01,28.88,978.7
2005-04-12,48.11,44.74,29.34,28.33,1000.9
2005-04-13,49.2,46.01,30.41,29.04,986.98
2005-04-14,48.62,45.06,30.05,28.72,974.08
2005-04-17,47.64,44.29,29.34,28.12,963.77
2005-04-18,46.95,43.73,28.87,28.0,965.89
2005-04-19,47.0,43.99,28.76,27.78,950.87
2005-04-20,46.34,43.79,28.33,27.34,943.98
2005-04-21,45.82,43.31,27.74,27.15,939.1
2005-04-24,46.49,42.45,27.75,26.5,930.07
2005-04-25,45.38,40.94,26.93,26.32,937.08
2005-04-26,45.63,41.98,27.47,26.93,926.6
2005-04-27,45.51,41.29,27.18,26.41,942.07
2005-04-28,46.02,41.1,27.7,26.59,932.39
2005-05-08,45.71,40.41,27.46,26.39,909.17
2005-05-09,44.37,38.27,26.68,25.75,913.08
2005-05-10,44.03,38.42,26.57,25.77,901.85
2005-05-11,43.68,38.58,26.49,25.17,885.82
2005-05-12,44.02,38.52,26.42,25.0,887.54
2005-05-15,44.63,39.01,26.61,25.2,875.27
2005-05-16,44.25,38.83,26.11,24.85,881.46
2005-05-17,44.54,39.28,26.37,25.2,883.2
2005-05-18,44.76,39.69,26.3,25.31,884.17
2005-05-19,44.76,39.69,26.47,25.56,882.76
2005-05-22,44.57,39.34,26.2,25.38,863.34
2005-05-23,43.05,37.98,25.83,24.57,868.46
2005-05-24,43.9,38.88,26.09,25.09,868.45
2005-05-25,44.13,39.07,26.1,24.87,857.33
2005-05-26,43.98,38.71,25.76,24.73,849.51
2005-05-29,43.8,38.52,25.5,24.5,855.61
2005-05-30,43.84,38.92,25.57,24.9,855.95
2005-05-31,43.97,38.82,25.53,24.66,837.53
2005-06-01,43.1,38.0,24.89,24.01,818.38
2005-06-02,43.0,37.93,24.47,23.71,818.03
2005-06-05,42.8,37.78,24.44,23.67,839.0
2005-06-06,43.13,38.02,24.87,23.99,837.28
2005-06-07,42.88,38.19,24.74,24.08,905.77
2005-06-08,45.31,40.75,26.58,26.0,912.6
2005-06-09,46.0,41.12,27.21,26.14,894.56
2005-06-12,45.1,40.51,26.37,25.5,892.96
2005-06-13,45.13,40.71,26.52,25.75,883.54
2005-06-14,44.87,39.91,25.9,25.16,866.83
2005-06-15,44.11,38.6,25.5,24.48,879.24
2005-06-16,43.8,39.13,25.76,24.73,880.35
2005-06-19,44.2,38.9,25.47,24.79,906.25
2005-06-20,44.91,39.96,26.42,25.43,896.17
2005-06-21,44.51,39.59,26.24,25.33,900.65
2005-06-22,44.68,39.76,26.33,25.62,893.57
2005-06-23,44.54,39.51,26.16,25.2,898.3
2005-06-26,43.95,39.6,26.22,25.38,916.04
2005-06-27,44.85,40.37,26.87,25.87,903.72
2005-06-28,44.46,39.65,26.45,25.58,898.9
2005-06-29,44.19,39.65,26.33,25.34,878.69
2005-06-30,43.11,38.79,25.59,24.58,859.49
2005-07-03,42.15,37.01,24.88,23.82,855.93
2005-07-04,41.45,36.45,24.57,23.69,849.68
2005-07-05,41.42,36.02,24.35,23.49,842.56
2005-07-06,41.25,36.11,24.28,23.27,844.73
2005-07-07,41.65,36.27,24.37,23.35,829.49
2005-07-10,40.32,34.64,23.61,22.78,824.1
2005-07-11,40.22,34.38,23.53,22.44,851.82
2005-07-12,40.67,35.3,24.23,23.26,846.23
2005-07-13,40.38,35.06,24.09,23.02,849.59
2005-07-14,40.59,35.06,24.06,23.15,841.0
2005-07-17,39.93,34.21,23.55,22.6,833.0
2005-07-18,39.34,33.46,22.98,22.22,835.61
2005-07-19,39.77,33.72,23.23,22.37,842.64
2005-07-20,39.75,33.89,23.22,22.52,843.99
2005-07-21,39.86,34.03,23.06,22.53,859.69
2005-07-24,40.01,34.44,23.68,22.95,856.86
2005-07-25,40.14,34.34,23.49,23.0,876.48
2005-07-26,40.42,35.21,23.95,23.41,894.01
2005-07-27,41.27,35.91,24.57,23.74,890.88
2005-07-28,41.21,35.79,24.6,23.7,888.16
2005-07-31,40.61,35.5,24.41,23.6,891.61
2005-08-01,40.95,36.04,24.46,23.69,903.6
2005-08-02,41.73,36.77,24.85,23.99,909.57
2005-08-03,41.8,36.99,25.03,24.05,904.15
2005-08-04,41.49,36.78,24.91,23.85,923.8
2005-08-07,42.37,37.66,25.71,24.57,927.47
2005-08-08,42.75,38.4,25.85,24.88,933.09
2005-08-09,43.12,38.9,26.08,25.15,940.37
2005-08-10,43.49,39.51,26.3,25.37,953.99
2005-08-11,44.04,39.72,26.57,25.65,938.32
2005-08-14,43.46,38.48,26.34,25.32,954.5
2005-08-15,43.97,39.4,27.22,26.0,945.06
2005-08-16,44.18,39.21,26.94,25.4,953.01
2005-08-17,44.45,39.82,27.25,25.95,920.67
2005-08-18,43.15,38.55,26.29,24.96,923.04
2005-08-21,43.29,38.25,26.24,24.96,931.67
2005-08-22,43.55,38.09,26.45,25.04,923.41
2005-08-23,43.15,37.17,26.11,24.46,930.65
2005-08-24,43.4,37.52,26.37,24.77,930.12
2005-08-25,43.65,38.08,26.57,25.13,928.26
2005-08-28,43.83,38.7,26.89,25.41,917.37
2005-08-29,43.74,37.91,26.74,24.89,914.88
2005-08-30,43.96,38.21,26.66,24.91,927.92
2005-08-31,44.37,38.61,27.24,25.3,944.56
2005-09-01,45.24,39.56,27.99,25.91,947.87
2005-09-04,45.21,39.4,28.13,25.99,952.72
2005-09-05,46.15,39.73,28.46,26.33,936.61
2005-09-06,45.06,39.11,27.75,25.84,952.76
2005-09-07,45.99,39.99,28.69,26.49,955.28
2005-09-08,45.8,39.99,28.53,26.57,949.07
2005-09-11,45.97,39.6,28.2,26.43,949.51
2005-09-12,46.3,39.83,28.24,26.46,963.77
2005-09-13,46.55,40.48,28.71,27.09,970.19
2005-09-14,46.52,40.71,29.09,27.16,969.6
2005-09-15,46.73,40.89,29.09,27.21,967.5
2005-09-18,46.98,40.91,29.07,27.15,971.14
2005-09-19,47.25,41.5,29.29,27.51,961.92
2005-09-20,47.26,41.27,29.14,27.33,944.41
2005-09-21,46.73,41.13,28.91,26.98,923.27
2005-09-22,45.82,39.59,28.05,26.25,916.15
2005-09-25,44.65,39.68,27.55,25.98,918.49
2005-09-26,45.05,39.18,27.72,26.14,904.21
2005-09-27,44.24,38.53,27.39,25.7,903.72
2005-09-28,43.97,38.33,27.29,25.79,915.98
2005-09-29,44.78,39.23,27.77,26.2,917.39
2005-10-09,44.31,39.3,27.77,26.18,907.32
2005-10-10,44.16,38.63,27.57,25.92,919.72
2005-10-11,44.8,39.52,28.11,26.25,923.49
2005-10-12,45.26,39.61,28.34,26.48,916.5
2005-10-13,44.97,39.61,28.17,26.45,904.83
2005-10-16,44.89,39.19,27.93,26.27,897.62
2005-10-17,45.04,39.24,27.86,26.39,902.37
2005-10-18,45.59,40.03,28.33,26.77,898.74
2005-10-19,45.35,39.73,28.46,26.45,899.91
2005-10-20,45.17,39.58,28.57,26.45,904.41
2005-10-23,45.34,40.31,28.65,26.58,906.65
2005-10-24,45.67,39.53,28.69,26.35,894.27
2005-10-25,44.78,38.37,28.36,25.83,875.82
2005-10-26,43.63,37.48,27.44,24.96,875.85
2005-10-27,43.6,37.25,27.44,24.67,867.73
2005-10-30,42.66,37.16,26.55,24.29,876.28
2005-10-31,42.75,37.97,26.67,24.49,872.87
2005-11-01,42.7,37.69,26.36,24.17,882.48
