date,close,pe
2010-06-29,919.95,58.58
2010-07-29,969.27,61.06
2010-08-30,1025.61,67.92
2010-09-29,941.15,63.17
2010-10-28,1062.79,71.83
2010-11-29,1168.09,80.29
2010-12-30,1123.88,78.53
2011-01-30,1011.26,69.32
2011-02-27,1076.84,70.51
2011-03-30,995.05,55.5
2011-04-28,902.11,47.14
2011-05-30,837.12,43.01
2011-06-29,844.73,42.98
2011-07-28,909.63,46.51
2011-08-30,925.07,47.9
2011-09-29,791.77,40.93
2011-10-30,847.6,44.02
2011-11-29,833.29,43.25
2011-12-29,725.78,37.62
2012-01-30,646.7,33.24
2012-02-28,739.02,37.3
2012-03-29,678.07,30.49
2012-04-26,688.82,31.28
2012-05-30,732.01,33.04
2012-06-28,730.92,33.08
2012-07-30,663.75,29.84
2012-08-30,705.55,31.65
2012-09-27,687.12,30.8
2012-10-30,685.16,30.57
2012-11-29,600.82,26.91
2012-12-30,711.94,32.01
2013-01-30,767.0,34.1
2013-02-27,836.06,36.8
2013-03-28,826.65,34.63
2013-04-25,836.88,36.93
2013-05-30,1007.51,44.33
2013-06-27,929.8,40.64
2013-07-30,1041.33,45.39
2013-08-29,1088.74,47.6
2013-09-29,1229.59,54.11
2013-10-30,1138.24,50.37
2013-11-28,1291.71,57.56
2013-12-30,1243.96,55.21
2014-01-29,1410.34,61.25
2014-02-27,1387.99,59.84
2014-03-30,1289.13,51.84
2014-04-29,1267.62,52.01
2014-05-29,1325.19,54.51
2014-06-29,1434.38,59.09
2014-07-30,1407.11,57.82
2014-08-28,1503.34,61.54
2014-09-29,1673.35,68.93
2014-10-30,1671.87,68.78
2014-11-27,1752.15,73.01
2014-12-30,1580.37,64.51
2015-01-29,1768.65,71.51
2015-02-26,2008.4,80.41
2015-03-30,2493.98,87.25
2015-04-29,2979.61,98.94
2015-05-28,3987.19,133.76
2015-06-29,3265.82,107.25
2015-07-30,2830.5,93.18
2015-08-30,2276.03,75.17
2015-09-29,2347.13,78.33
2015-10-29,2797.68,94.6
2015-11-29,3148.25,105.85
2015-12-30,3265.2,109.01
2016-01-28,2328.06,79.45
2016-02-28,2195.15,72.48
2016-03-30,2634.57,79.8
2016-04-28,2572.8,69.36
2016-05-30,2614.16,71.16
2016-06-29,2811.52,76.88
2016-07-28,2656.7,73.15
2016-08-30,2785.26,77.61
2016-09-29,2725.81,75.71
2016-10-30,2786.65,78.22
2016-11-29,2850.7,80.71
2016-12-29,2600.8,73.21
2017-01-25,2487.73,69.03
2017-02-27,2570.24,70.78
2017-03-30,2535.49,64.85
2017-04-27,2415.09,52.52
2017-05-30,2281.98,49.12
2017-06-29,2337.6,50.29
2017-07-30,2239.69,48.08
2017-08-30,2371.29,51.74
2017-09-28,2432.07,53.66
2017-10-30,2388.57,53.13
2017-11-29,2225.94,49.69
2017-12-28,2202.24,49.15
2018-01-30,2115.62,46.93
2018-02-27,2083.17,45.99
2018-03-29,2277.42,48.64
2018-04-26,2195.67,44.54
2018-05-30,2123.48,43.6
2018-06-28,1939.75,39.99
2018-07-30,1884.35,38.92
2018-08-30,1732.35,35.63
2018-09-27,1710.1,35.04
2018-10-30,1525.69,32.04
2018-11-29,1599.16,33.68
2018-12-27,1516.89,32.1
2019-01-30,1474.75,31.27
2019-02-27,1838.03,38.57
2019-03-28,2023.93,41.29
2019-04-29,1927.69,41.43
2019-05-30,1810.17,39.32
2019-06-27,1834.57,40.02
2019-07-30,1855.99,40.83
2019-08-30,1887.05,42.1
2019-09-30,1929.96,43.03
2019-10-31,1960.19,43.67
2019-11-29,1933.18,43.05
2019-12-31,2104.27,47.01
2020-01-23,2233.85,50.23
2020-02-28,2363.27,53.04
2020-03-31,2148.95,48.53
2020-04-30,2307.37,44.6
2020-05-29,2335.73,45.94
2020-06-30,2692.2,52.81
2020-07-31,3065.18,60.17
2020-08-31,3101.14,61.02
2020-09-30,2952.24,58.4
2020-10-30,3045.03,60.54
2020-11-30,2981.1,60.13
2020-12-31,3111.07,64.91
2021-01-29,3097.41,65.78
2021-02-26,2978.32,61.79
2021-03-31,2851.85,54.46
2021-04-22,3002.34,57.03
