date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2005-04-10,37.42,29.85,22.37,20.47,995.42
2005-04-11,37.04,29.74,22.35,20.5,978.7
2005-04-12,36.14,28.97,21.83,20.09,1000.9
2005-04-13,37.21,29.47,22.23,20.57,986.98
2005-04-14,37.15,28.81,21.92,20.17,974.08
2005-04-17,36.26,28.54,21.75,19.81,963.77
2005-04-18,35.84,29.88,21.62,20.18,965.89
2005-04-19,35.97,30.46,21.61,20.44,950.87
2005-04-20,35.05,31.19,21.19,20.18,943.98
2005-04-21,34.15,31.36,20.86,20.22,939.1
2005-04-24,33.61,30.59,20.73,19.97,930.07
2005-04-25,32.84,30.53,20.33,19.67,937.08
2005-04-26,33.47,32.05,20.64,19.94,926.6
2005-04-27,32.66,32.16,20.39,19.66,942.07
2005-04-28,33.43,32.98,20.66,20.08,932.39
2005-05-08,32.91,31.48,20.47,20.12,909.17
2005-05-09,31.83,30.81,20.04,19.34,913.08
2005-05-10,31.87,30.81,20.22,19.5,901.85
2005-05-11,31.72,31.62,20.09,19.81,885.82
2005-05-12,31.46,31.29,19.72,19.47,887.54
2005-05-15,31.81,31.64,19.81,19.74,875.27
2005-05-16,31.41,31.26,19.54,18.94,881.46
2005-05-17,31.73,31.6,19.56,19.3,883.2
2005-05-18,32.06,31.93,19.74,19.49,884.17
2005-05-19,32.01,31.87,19.81,19.61,882.76
2005-05-22,31.78,31.6,19.66,19.64,863.34
2005-05-23,30.88,30.62,19.21,18.96,868.46
2005-05-24,31.52,31.24,19.4,19.13,868.45
2005-05-25,31.58,31.3,19.44,19.11,857.33
2005-05-26,31.2,30.9,19.06,18.82,849.51
2005-05-29,31.07,30.72,19.07,18.42,855.61
2005-05-30,31.43,31.1,19.07,18.62,855.95
2005-05-31,31.34,30.97,19.17,18.83,837.53
2005-06-01,30.67,30.25,18.76,18.33,818.38
2005-06-02,30.28,29.83,18.36,17.91,818.03
2005-06-05,30.08,29.64,18.08,17.91,839.0
2005-06-06,30.58,30.17,18.4,18.29,837.28
2005-06-07,30.68,30.21,18.35,18.35,905.77
2005-06-08,33.07,32.61,19.77,19.9,912.6
2005-06-09,33.52,33.0,19.76,19.89,894.56
2005-06-12,32.81,32.28,19.41,19.44,892.96
2005-06-13,32.87,32.33,19.46,19.52,883.54
2005-06-14,32.26,31.79,19.38,19.23,866.83
2005-06-15,31.34,30.9,19.01,18.81,879.24
2005-06-16,31.61,31.13,19.15,19.01,880.35
2005-06-19,31.55,31.03,19.08,18.99,906.25
2005-06-20,32.48,31.93,20.03,19.65,896.17
2005-06-21,32.04,31.57,19.8,19.35,900.65
2005-06-22,32.13,31.68,19.92,19.4,893.57
2005-06-23,31.7,31.29,19.62,19.25,898.3
2005-06-26,31.83,31.4,19.63,19.28,916.04
2005-06-27,32.62,32.17,20.06,19.73,903.72
2005-06-28,31.93,31.56,19.7,19.57,898.9
2005-06-29,31.81,31.43,19.46,19.51,878.69
2005-06-30,30.02,29.44,19.13,18.87,859.49
2005-07-03,28.71,28.22,18.36,18.14,855.93
2005-07-04,28.17,27.8,18.03,17.63,849.68
2005-07-05,27.84,27.52,18.07,17.72,842.56
2005-07-06,27.68,27.31,18.06,17.8,844.73
2005-07-07,27.73,27.41,18.12,17.87,829.49
2005-07-10,26.87,26.56,17.47,17.17,824.1
2005-07-11,26.53,26.19,17.42,17.09,851.82
2005-07-12,27.51,27.1,17.76,17.33,846.23
2005-07-13,27.27,26.85,17.78,17.32,849.59
2005-07-14,27.29,26.9,17.84,17.53,841.0
2005-07-17,26.69,26.39,17.73,17.16,833.0
2005-07-18,26.13,25.93,17.14,16.88,835.61
2005-07-19,26.34,26.1,17.18,17.03,842.64
2005-07-20,26.48,26.25,17.24,17.02,843.99
2005-07-21,26.49,26.23,17.3,17.06,859.69
2005-07-24,27.23,27.0,17.82,17.66,856.86
2005-07-25,27.16,26.98,18.04,17.57,876.48
2005-07-26,27.85,27.65,18.4,18.17,894.01
2005-07-27,28.47,28.25,18.63,18.66,890.88
2005-07-28,28.32,28.13,18.49,18.76,888.16
2005-07-31,28.18,27.98,18.3,18.24,891.61
2005-08-01,28.42,28.14,18.29,18.38,903.6
2005-08-02,29.04,28.76,18.6,19.33,909.57
2005-08-03,29.37,29.04,18.99,19.51,904.15
2005-08-04,29.22,28.87,18.9,19.58,923.8
2005-08-07,29.87,29.52,19.28,20.1,927.47
2005-08-08,30.14,29.68,19.41,20.17,933.09
2005-08-09,30.61,29.88,19.67,19.97,940.37
2005-08-10,30.88,30.23,19.87,20.1,953.99
2005-08-11,31.21,30.6,20.1,20.86,938.32
2005-08-14,30.67,29.92,19.72,20.45,954.5
2005-08-15,31.32,30.62,20.03,20.55,945.06
2005-08-16,31.21,30.58,20.32,20.51,953.01
2005-08-17,31.73,31.08,20.35,20.74,920.67
2005-08-18,30.53,29.75,19.55,19.99,923.04
2005-08-21,30.58,28.91,19.13,19.9,931.67
2005-08-22,30.92,29.17,19.4,20.18,923.41
2005-08-23,30.38,28.87,19.45,20.2,930.65
2005-08-24,30.76,29.26,19.62,20.15,930.12
2005-08-25,31.01,28.76,19.54,20.01,928.26
2005-08-28,31.12,28.94,19.41,19.81,917.37
2005-08-29,30.75,27.47,19.35,19.43,914.88
2005-08-30,30.58,27.54,19.08,19.14,927.92
2005-08-31,31.22,27.53,19.43,19.37,944.56
2005-09-01,32.0,28.19,20.18,19.7,947.87
2005-09-04,32.23,28.37,20.3,19.87,952.72
2005-09-05,32.66,28.69,20.59,20.01,936.61
2005-09-06,31.79,27.97,20.1,19.77,952.76
2005-09-07,32.71,28.56,20.41,20.12,955.28
2005-09-08,32.82,28.61,20.69,20.13,949.07
2005-09-11,32.49,28.35,20.46,19.82,949.51
2005-09-12,32.63,28.45,20.8,20.0,963.77
2005-09-13,33.31,29.01,21.03,20.23,970.19
2005-09-14,33.55,29.27,20.98,20.51,969.6
2005-09-15,33.62,29.34,20.91,20.61,967.5
2005-09-18,33.62,29.29,21.0,20.6,971.14
2005-09-19,33.05,29.56,20.93,20.78,961.92
2005-09-20,32.73,29.26,20.9,20.45,944.41
2005-09-21,33.18,28.84,20.67,19.99,923.27
2005-09-22,32.15,26.99,20.06,19.54,916.15
2005-09-25,31.7,27.73,19.85,19.45,918.49
2005-09-26,31.79,26.82,19.94,19.45,904.21
2005-09-27,31.08,26.25,19.63,19.27,903.72
2005-09-28,30.92,26.1,19.58,19.04,915.98
2005-09-29,31.47,26.52,19.94,19.49,917.39
2005-10-09,31.42,26.49,19.71,19.66,907.32
2005-10-10,30.91,26.07,19.41,19.32,919.72
2005-10-11,31.68,26.61,19.86,19.63,923.49
2005-10-12,31.96,26.78,19.93,19.76,916.5
2005-10-13,31.69,26.55,19.6,19.5,904.83
2005-10-16,31.33,26.2,19.16,19.29,897.62
2005-10-17,31.2,26.04,18.82,19.27,902.37
2005-10-18,31.53,26.37,19.16,19.43,898.74
2005-10-19,31.39,26.15,18.93,19.09,899.91
2005-10-20,31.23,26.22,19.1,19.2,904.41
2005-10-23,31.47,26.94,19.1,19.07,906.65
2005-10-24,31.39,26.81,19.16,19.08,894.27
2005-10-25,30.79,26.26,18.73,18.63,875.82
2005-10-26,30.03,25.78,18.43,18.23,875.85
2005-10-27,29.7,25.55,18.62,18.25,867.73
2005-10-30,29.15,25.01,18.38,18.24,876.28
2005-10-31,29.26,25.83,18.35,18.34,872.87
2005-11-01,29.03,25.67,18.33,18.12,882.48
2005-11-02,29.58,26.11,18.49,18.42,874.58
2005-11-03,29.27,25.78,18.43,18.34,878.36
2005-11-06,29.44,25.98,18.26,18.34,877.28
2005-11-07,29.66,26.04,18.51,18.31,881.52
2005-11-08,29.81,26.18,18.49,18.76,879.25
2005-11-09,29.7,26.11,18.15,18.62,862.97
2005-11-10,28.88,25.44,17.84,18.13,864.79
2005-11-13,29.05,25.52,17.87,18.26,862.15
2005-11-14,29.09,25.52,17.79,18.09,856.63
2005-11-15,28.84,25.3,17.6,17.91,863.12
2005-11-16,29.14,25.52,17.74,17.94,862.66
2005-11-17,29.09,25.52,17.85,17.93,882.24
2005-11-20,29.8,26.09,18.18,18.38,883.87
2005-11-21,29.87,26.14,18.24,18.59,869.62
2005-11-22,29.21,25.62,17.9,18.16,876.23
2005-11-23,29.44,25.79,18.34,18.24,881.49
2005-11-24,29.55,25.89,18.21,18.26,884.11
2005-11-27,29.58,25.88,18.02,18.29,880.17
2005-11-28,29.47,25.75,17.87,18.24,871.31
2005-11-29,29.1,25.51,17.79,17.98,873.83
2005-11-30,29.07,25.5,17.84,18.02,873.07
2005-12-01,28.92,25.3,17.87,18.03,869.94
2005-12-04,28.68,25.13,17.91,17.82,859.61
2005-12-05,28.07,24.71,17.49,17.39,866.08
2005-12-06,28.2,24.84,17.72,17.42,873.84
2005-12-07,28.5,25.04,17.85,17.54,874.06
2005-12-08,28.45,25.03,18.02,17.6,887.36
2005-12-11,28.95,25.43,18.23,17.87,888.52
2005-12-12,29.01,25.54,18.27,17.91,889.1
2005-12-13,28.99,25.53,18.38,17.95,898.15
2005-12-14,29.34,25.82,18.7,18.07,896.43
2005-12-15,29.97,25.71,18.56,18.0,902.56
2005-12-18,30.21,25.88,18.76,18.2,902.91
2005-12-19,30.18,25.88,18.65,18.17,907.32
2005-12-20,30.34,25.93,18.65,18.29,903.14
2005-12-21,30.13,25.8,18.54,18.04,908.75
2005-12-22,30.27,25.96,18.65,18.07,915.89
2005-12-25,30.55,26.2,18.85,18.34,922.38
2005-12-26,30.76,26.38,19.1,18.39,919.36
2005-12-27,30.66,26.29,18.96,18.34,920.92
2005-12-28,30.65,26.29,18.99,18.31,932.03
2005-12-29,30.95,26.6,19.33,18.38,923.45
2006-01-03,32.42,26.58,19.64,18.28,941.43
2006-01-04,33.18,26.97,19.12,18.37,959.13
2006-01-05,32.74,27.37,19.5,18.85,970.03
2006-01-08,33.08,27.65,19.77,18.95,975.25
2006-01-09,33.44,27.94,19.93,19.22,978.15
2006-01-10,33.5,28.01,20.04,19.22,973.48
2006-01-11,34.29,27.94,20.01,19.11,983.72
2006-01-12,33.94,28.42,20.15,19.47,978.81
