date,close,pe
1997-12-30,4184.84,42.66
1998-01-22,4165.28,42.54
1998-02-26,4081.69,41.31
1998-03-30,4063.28,41.82
1998-04-29,4180.95,39.5
1998-05-28,4185.07,41.05
1998-06-29,3737.14,38.27
1998-07-30,3744.0,37.47
1998-08-30,3255.49,32.41
1998-09-29,3283.37,34.96
1998-10-29,3112.54,34.52
1998-11-29,3201.3,35.12
1998-12-30,2949.31,32.31
1999-01-28,2920.39,31.95
1999-02-08,2755.3,30.14
1999-03-30,2872.15,30.46
1999-04-29,2793.45,31.85
1999-05-30,3270.34,35.15
1999-06-29,4702.77,48.12
1999-07-29,4045.35,44.98
1999-08-30,4154.19,44.69
1999-09-29,3967.83,43.87
1999-10-28,3742.0,41.8
1999-11-29,3533.98,40.16
1999-12-29,3369.61,37.56
2000-01-27,3952.4,43.48
2000-02-28,4484.16,47.6
2000-03-30,4532.31,50.09
2000-04-27,4683.17,51.76
2000-05-30,4643.15,53.42
2000-06-29,4830.67,55.63
2000-07-30,4894.12,57.89
2000-08-30,4826.3,56.99
2000-09-28,4523.65,54.56
2000-10-30,4573.22,55.92
2000-11-29,4829.99,59.08
2000-12-28,4752.75,58.75
2001-01-18,4743.36,57.21
2001-02-27,4453.14,51.11
2001-03-29,4965.98,53.72
2001-04-29,4802.59,54.03
2001-05-30,4857.46,55.64
2001-06-28,4716.89,55.84
2001-07-30,4059.0,48.37
2001-08-30,3860.21,46.73
2001-09-27,3498.62,43.98
2001-10-30,3438.52,41.58
2001-11-29,3513.75,43.27
2001-12-30,3325.66,40.76
2002-01-30,2982.7,36.43
2002-02-27,3029.49,37.47
2002-03-28,3173.9,40.45
2002-04-29,3253.46,47.02
2002-05-30,3037.0,43.26
2002-06-27,3551.33,49.07
2002-07-30,3405.7,47.2
2002-08-29,3436.84,47.78
2002-09-26,3243.93,45.22
2002-10-30,3036.18,42.84
2002-11-28,2920.72,40.11
2002-12-30,2759.3,38.22
2003-01-28,3051.22,41.12
2003-02-27,3057.24,41.9
2003-03-30,3101.86,40.44
2003-04-29,3260.75,41.5
2003-05-29,3503.69,43.65
2003-06-29,3224.81,40.26
2003-07-30,3318.42,39.53
2003-08-28,3192.37,38.57
2003-09-29,3054.89,36.74
2003-10-30,3167.34,35.69
2003-11-27,3267.94,36.55
2003-12-30,3479.8,37.43
2004-01-29,3716.87,38.54
2004-02-26,3919.92,40.35
2004-03-30,4060.14,37.74
2004-04-29,3613.17,32.32
2004-05-30,3577.65,31.72
2004-06-29,3275.85,28.3
2004-07-29,3283.37,28.38
2004-08-30,3175.79,26.95
2004-09-29,3453.91,28.74
2004-10-28,3216.35,27.18
2004-11-29,3226.0,27.68
2004-12-30,3067.57,24.63
2005-01-30,3045.48,23.04
2005-02-27,3376.32,24.06
2005-03-30,3170.35,18.79
2005-04-28,3156.67,17.3
2005-05-30,2801.66,15.99
2005-06-29,2760.23,16.01
2005-07-28,2887.57,15.73
2005-08-30,2950.43,17.06
2005-09-29,2903.11,17.22
2005-10-30,2662.29,16.24
2005-11-29,2676.85,15.88
2005-12-29,2863.61,16.36
2006-01-24,3242.35,17.79
