,trade_date,total_mv,pe
0,20210422,34723.230000,85.13
1,20210421,34161.000000,84.16
2,20210420,34086.540000,84.25
3,20210419,34282.650000,84.77
4,20210416,33286.500000,82.50
5,20210415,32737.080000,81.14
6,20210414,32692.430000,80.90
7,20210413,32405.240000,80.03
8,20210412,32317.870000,80.26
9,20210409,33134.850000,82.52
10,20210408,33458.920000,83.61
11,20210407,33417.010000,83.73
12,20210406,33397.290000,83.71
13,20210402,33279.690000,83.45
14,20210401,32454.300000,81.44
15,20210331,31960.550000,80.55
16,20210330,31948.840000,80.94
17,20210329,31925.810000,81.06
18,20210326,32040.570000,81.50
19,20210325,31245.250000,79.51
20,20210324,31284.670000,79.56
21,20210323,31787.830000,80.72
22,20210322,32051.450000,81.68
23,20210319,31616.180000,80.62
24,20210318,31799.910000,81.14
25,20210317,31679.760000,80.86
26,20210316,31229.240000,79.72
27,20210315,31206.290000,79.69
28,20210312,32234.320000,82.36
29,20210311,32371.630000,82.56
30,20210310,31476.290000,80.36
31,20210309,31365.150000,80.16
32,20210308,32378.510000,83.36
33,20210305,33680.410000,86.76
34,20210304,33510.870000,86.13
35,20210303,34489.160000,88.74
36,20210302,33887.710000,87.41
37,20210301,34007.180000,87.68
38,20210226,33196.010000,85.80
39,20210225,33503.430000,86.90
40,20210224,33549.380000,88.21
41,20210223,34103.760000,89.84
42,20210222,34083.490000,89.72
43,20210219,34856.800000,91.84
44,20210218,34837.580000,91.62
45,20210210,34920.260000,91.89
46,20210209,34320.220000,90.81
47,20210208,33251.080000,87.93
48,20210205,32986.490000,87.79
49,20210204,33605.310000,89.41
50,20210203,34284.000000,91.18
51,20210202,35075.330000,93.12
52,20210201,34872.830000,92.58
53,20210129,34594.530000,92.14
54,20210128,34842.260000,92.49
55,20210127,35782.990000,95.24
56,20210126,36152.140000,96.10
57,20210125,36719.730000,98.20
58,20210122,36489.100000,98.18
59,20210121,35943.720000,96.77
60,20210120,35540.590000,96.12
61,20210119,34768.670000,93.70
62,20210118,35134.500000,94.84
63,20210115,33750.170000,95.35
64,20210114,33590.570000,94.55
65,20210113,32624.790000,92.20
66,20210112,32969.470000,93.33
67,20210111,32726.080000,92.56
